COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
1,1,2,1,2,2,1,3,3,1,1,1,1,1,2,1,4,3,1
1,1,3,4,2,2,3,1,4,3,3,3,2,1,1,1,2,2,2
1,1,2,1,2,2,2,2,3,3,2,2,2,2,1,1,1,2,1
2,2,3,4,3,2,3,1,4,3,4,4,4,1,1,1,2,2,4
1,1,2,1,1,1,1,3,3,1,1,1,1,2,2,1,1,2,1
2,1,3,4,2,2,3,1,4,3,3,4,3,1,1,1,3,2,4
1,1,2,1,2,1,1,3,3,1,1,1,1,2,2,1,2,2,4
1,1,2,1,1,2,1,3,3,3,1,1,1,2,2,1,2,1,1
1,1,2,1,3,1,2,2,3,3,2,2,2,2,1,1,1,2,3
1,1,2,4,3,1,3,1,4,3,3,3,2,1,1,1,2,2,3
1,1,2,1,2,1,2,2,3,1,2,2,1,2,4,1,2,2,4
1,1,2,1,2,2,2,2,3,3,2,2,2,4,1,1,1,1,3
1,2,3,4,3,2,4,1,4,4,4,4,4,2,1,1,2,2,4
1,1,2,1,3,2,1,2,3,3,1,2,2,1,1,1,2,2,1
1,1,2,4,4,1,3,1,4,3,3,4,4,2,1,1,2,2,3
1,2,3,1,2,2,4,1,4,4,4,4,4,2,1,1,2,2,4
1,3,3,4,3,2,4,1,4,4,4,4,4,1,2,1,2,2,4
1,1,3,4,2,2,3,1,3,1,3,3,1,1,1,1,2,2,4
1,1,1,1,2,1,1,3,3,1,1,1,1,3,1,1,1,1,4
1,1,2,1,2,2,2,2,3,3,2,2,2,1,2,1,2,2,1
2,2,3,4,2,2,3,1,4,3,3,4,4,1,1,1,2,2,4
1,1,2,2,2,2,3,1,3,1,3,3,1,1,1,1,2,2,2
1,1,1,1,2,1,2,2,3,1,1,2,2,3,1,1,1,1,2
2,1,3,4,3,1,3,1,4,3,4,4,4,2,2,1,2,2,3
1,1,2,1,1,1,2,2,3,3,2,2,3,4,1,1,1,1,3
1,1,2,1,3,1,2,2,3,3,2,2,3,2,1,1,2,2,3
1,1,3,4,2,1,3,1,4,3,4,4,4,2,1,1,2,2,3
1,1,2,1,2,1,1,3,3,1,1,1,1,1,1,1,2,2,1
1,1,2,1,2,1,2,3,3,1,2,2,1,2,2,2,1,2,4
1,1,2,4,4,1,2,2,3,1,2,2,1,1,1,1,2,2,3
2,3,3,2,1,1,4,1,4,4,4,4,4,4,2,1,1,1,3
1,1,2,1,2,2,2,2,3,3,2,2,2,1,1,1,2,2,1
1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,2,1
1,1,2,4,4,1,3,1,3,1,2,3,2,1,1,1,3,2,3
1,1,1,1,2,1,1,3,3,1,1,1,1,3,2,1,1,1,4
2,2,3,4,3,2,4,1,4,4,4,4,4,1,1,1,2,2,2
1,1,2,1,2,2,3,1,3,1,3,3,1,1,2,1,2,2,4
2,1,3,4,2,2,3,1,4,3,4,4,4,1,2,1,2,2,2
1,1,2,1,2,2,2,2,3,3,2,2,3,2,1,1,2,2,1
1,1,2,1,2,1,2,2,3,3,1,2,2,2,1,1,2,2,3
1,1,3,4,2,2,4,1,4,3,4,4,4,1,1,2,2,2,4
1,1,2,1,2,1,1,2,3,1,1,2,2,2,4,1,2,2,2
1,1,2,1,2,1,2,2,3,3,2,2,2,2,1,1,2,2,3
1,1,3,4,3,2,3,1,4,3,4,4,3,1,1,3,2,2,4
1,1,2,1,2,1,2,2,3,3,2,2,2,4,1,1,1,1,3
1,1,2,4,4,4,2,2,3,3,4,2,3,4,1,1,1,1,3
1,1,2,2,3,2,2,2,3,3,1,2,1,1,2,1,3,2,1
1,1,2,1,2,1,1,3,3,3,1,1,2,1,3,1,2,2,1
1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,1,2,2,1
2,1,2,4,2,1,3,1,4,3,4,4,2,2,1,1,2,2,3
2,2,3,4,2,2,4,1,4,4,4,4,4,2,2,1,2,2,2
1,1,3,4,2,2,3,1,4,3,3,4,2,1,1,2,2,2,4
1,1,2,1,2,2,2,2,3,1,2,2,1,2,1,1,2,2,4
1,1,2,1,2,2,2,2,3,3,2,2,2,2,1,1,1,1,3
1,1,2,4,3,1,3,1,4,3,3,3,2,2,1,1,2,2,3
1,1,2,1,2,2,1,2,3,3,1,2,1,1,1,1,2,2,1
1,1,2,1,2,2,2,2,3,3,2,2,3,2,1,1,2,2,1
1,1,2,1,2,1,2,2,3,1,1,2,1,2,4,1,1,2,4
1,1,1,1,2,1,1,3,1,1,1,1,1,2,4,1,1,2,4
1,1,2,1,2,2,2,2,3,3,2,2,2,2,2,1,2,2,1
1,1,2,1,2,2,2,2,3,3,2,2,3,1,2,1,2,2,1
2,1,3,4,2,2,3,1,4,3,4,4,3,1,1,1,2,2,4
2,2,4,4,3,2,4,1,4,4,4,4,4,1,2,2,2,2,2
1,1,2,1,2,2,2,2,3,3,1,2,2,3,2,1,1,1,3
1,1,2,2,2,1,3,1,3,3,2,3,3,1,1,1,3,2,3
1,1,1,1,1,1,1,3,3,1,1,1,1,2,4,1,2,1,2
1,1,2,1,2,2,2,2,3,3,2,2,3,2,2,1,2,2,1
1,1,2,1,2,2,2,2,3,2,1,2,1,1,2,1,4,2,1
1,1,1,1,2,1,1,3,1,1,1,1,1,1,4,1,2,2,2
1,1,2,1,2,2,1,2,3,3,2,2,2,1,1,1,2,2,1
1,1,2,1,2,2,2,2,3,3,2,2,3,2,4,1,2,2,1
1,1,2,1,2,1,2,2,3,3,2,2,1,2,1,1,2,2,3
1,1,2,1,2,2,2,2,3,1,2,2,1,2,1,1,2,2,3
1,1,2,2,3,2,2,2,3,3,2,2,1,1,2,1,2,2,1
2,1,3,4,3,1,3,1,4,3,3,4,3,2,1,1,2,2,3
2,1,3,2,2,2,3,1,4,3,4,4,3,2,2,1,2,2,2
1,1,2,2,2,1,2,2,3,1,2,2,1,1,1,2,3,2,2
1,1,3,3,2,2,3,1,4,1,3,3,2,1,1,4,2,2,2
1,1,2,1,1,1,1,3,3,3,1,1,1,2,1,1,2,2,1
2,2,3,1,1,2,4,1,4,4,4,4,3,2,2,1,2,2,4
1,1,2,4,4,3,2,2,3,3,4,2,2,4,1,1,2,2,1
1,1,2,1,2,2,2,2,3,3,2,2,3,2,1,1,2,2,1
1,1,2,1,2,2,1,3,3,3,1,1,2,1,1,1,2,2,1
1,1,2,1,2,1,1,3,3,1,1,1,1,2,3,1,2,2,2
1,1,2,1,3,2,2,2,3,3,2,2,1,1,1,1,2,2,1
1,1,2,2,2,2,2,2,3,1,2,2,1,1,1,1,4,3,2
1,1,2,1,2,2,2,2,3,3,1,2,2,4,1,1,1,1,3
2,1,3,4,2,2,4,1,4,3,4,4,2,1,1,4,2,2,4
1,1,2,1,2,2,2,2,3,3,2,2,2,4,1,1,1,1,3
1,1,2,3,2,1,3,2,3,3,2,2,2,1,2,1,4,2,4
2,2,3,4,2,2,4,1,4,4,4,4,3,1,1,1,2,2,4
2,1,2,1,2,2,3,2,3,3,2,2,2,1,4,1,2,2,1
1,1,2,2,3,1,2,2,3,1,2,2,1,1,1,1,2,2,3
1,1,2,2,2,2,2,2,3,3,2,2,1,1,4,1,4,3,2
1,1,2,2,3,2,1,3,3,1,1,1,1,1,1,2,2,2,1
2,1,3,4,2,2,3,1,4,3,3,3,3,1,1,1,2,2,2
1,1,2,4,4,1,3,1,4,3,3,3,1,2,1,1,3,2,3
1,1,2,2,2,1,2,2,3,1,2,2,1,1,1,2,4,4,4
2,1,3,4,2,2,3,1,4,3,4,4,2,1,1,1,2,2,2
1,1,2,1,2,2,1,2,3,1,1,2,1,1,2,1,2,2,1
2,2,3,4,2,1,4,1,4,4,4,4,4,4,1,1,2,1,3
1,1,2,1,2,1,2,2,3,1,1,2,1,1,2,1,3,2,4
1,1,2,1,2,1,1,3,3,3,1,1,1,2,1,1,2,2,1
1,1,2,1,2,1,2,2,3,1,2,2,1,1,1,2,2,2,2
1,1,2,1,2,1,2,2,3,3,2,2,2,1,4,1,2,2,4
1,1,1,1,2,1,1,3,3,1,1,1,1,4,1,1,1,1,4
2,1,3,4,2,2,3,1,4,4,4,4,3,1,4,1,3,2,4
1,1,2,4,2,2,3,2,3,1,2,2,1,1,2,1,3,2,2
1,1,2,1,2,1,1,3,3,1,1,1,1,1,1,1,2,2,2
1,2,3,3,2,2,4,1,4,4,4,4,4,2,1,1,2,2,4
2,2,3,2,2,2,4,1,4,4,4,4,3,1,1,2,2,2,4
1,1,2,2,2,2,2,2,3,1,2,2,1,1,1,1,4,4,2
2,1,3,4,2,2,4,1,4,3,4,4,3,1,4,1,2,2,2
1,1,2,1,2,1,2,2,3,3,2,2,2,2,1,1,1,1,3
1,1,2,1,1,2,1,3,3,1,1,1,1,2,1,1,2,1,1
2,1,3,4,2,2,4,1,4,3,4,4,3,1,1,1,2,2,4
2,2,3,1,1,1,4,1,4,4,4,4,4,4,1,1,1,1,3
1,1,2,2,3,2,2,2,3,3,1,2,2,1,2,1,2,2,1
1,1,3,3,2,1,4,1,4,3,4,4,4,2,2,2,2,2,3
1,1,2,1,2,2,2,2,3,4,2,2,3,2,2,1,2,2,1
1,1,2,3,4,1,2,2,3,1,2,2,1,2,1,1,2,2,3
1,1,2,2,2,1,3,1,3,1,3,3,1,1,1,3,2,2,4
1,1,2,1,3,1,1,2,3,3,1,2,2,1,2,1,2,2,3
1,1,2,2,3,1,2,2,3,1,2,2,1,1,1,1,3,2,3
1,1,2,1,2,1,1,3,3,3,1,1,2,2,2,1,2,2,1
2,2,3,4,3,2,3,1,4,4,4,4,4,1,1,1,2,2,2
1,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,4
1,1,2,2,3,1,2,2,3,2,2,2,2,1,1,1,4,2,3
1,1,1,1,2,1,1,3,1,1,1,1,1,2,2,1,2,2,2
2,1,3,4,3,2,3,1,4,3,4,4,4,1,2,1,2,2,2
2,1,2,4,4,1,3,1,3,1,3,3,1,1,1,1,3,2,3
1,1,2,4,3,1,3,1,3,1,2,3,1,1,1,1,3,2,3
1,1,2,2,2,1,2,2,3,3,2,2,3,1,2,1,2,2,4
2,1,3,4,3,2,3,1,4,3,4,4,4,2,1,1,2,2,4
1,1,2,2,2,2,2,2,3,1,2,2,1,1,1,1,2,2,4
1,1,3,4,2,2,3,1,3,3,3,3,3,1,4,1,4,2,4
1,1,2,1,3,2,2,2,3,1,1,2,1,1,1,1,2,2,1
1,1,2,1,2,1,2,2,3,3,2,2,2,1,3,1,2,2,2
2,2,3,4,2,1,4,1,4,4,4,4,4,2,1,1,2,1,3
1,1,2,2,2,1,2,2,3,1,2,2,1,1,2,1,2,2,2
1,1,2,1,2,1,2,2,3,3,2,2,2,3,1,1,1,1,3
2,2,3,4,4,2,4,1,4,4,4,4,4,1,4,1,2,2,2
1,1,2,1,2,1,2,2,3,3,2,2,2,2,1,1,2,2,3
1,1,2,1,2,1,2,2,3,3,2,2,3,3,1,1,1,2,3
1,1,2,1,2,1,2,2,3,3,2,2,2,3,1,1,1,1,3
1,1,2,1,3,2,2,2,3,3,2,2,2,2,1,1,2,2,1
1,1,2,2,2,2,2,2,3,1,2,2,1,1,1,1,3,2,2
2,2,3,2,1,2,4,1,4,4,4,4,3,1,4,1,2,2,4
2,2,3,4,2,2,4,1,4,4,4,4,4,2,2,1,2,2,4
1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,4,2,1
1,1,2,1,2,2,2,2,3,3,2,2,2,1,1,1,2,2,1
1,1,2,2,2,2,3,2,3,3,2,2,2,1,1,1,2,2,4
1,1,2,1,2,1,2,2,3,3,1,2,2,4,1,1,1,1,3
1,1,2,1,2,2,2,2,3,3,2,2,3,2,1,1,2,2,3
2,2,3,2,2,2,4,1,4,4,4,4,4,2,1,1,2,2,4
1,1,2,4,2,2,3,1,3,1,2,3,1,1,1,1,4,3,4
1,1,2,1,2,2,1,3,3,1,1,1,1,1,1,1,2,2,1
1,1,2,2,3,1,2,2,3,1,2,2,1,1,1,1,2,2,3
2,1,2,2,2,1,4,1,4,3,4,4,3,2,1,1,2,2,3
1,1,2,1,2,1,1,3,3,1,1,2,1,1,1,1,2,2,4
1,1,2,2,2,1,3,2,3,1,3,2,1,2,1,1,2,2,4
1,1,2,1,2,1,2,2,3,3,2,2,2,2,2,1,2,2,2
2,2,3,4,3,2,4,1,4,4,4,4,4,2,1,1,2,2,4
1,1,2,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,3
1,1,1,1,2,1,1,3,1,1,1,1,1,1,4,1,3,2,1
1,2,3,4,2,2,4,1,4,4,4,4,4,1,1,1,2,2,4
1,1,2,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,1
2,1,2,4,3,1,3,1,4,3,3,3,3,2,1,1,3,2,3
1,1,2,1,2,1,2,2,3,3,2,2,2,3,1,1,1,2,3
1,1,2,1,2,1,1,3,3,1,1,1,2,2,1,1,2,2,2
1,1,2,1,2,2,1,2,3,3,1,2,1,1,1,1,2,2,1
2,2,3,4,3,2,4,1,4,4,4,4,4,1,3,1,2,2,2
1,1,2,1,2,2,1,3,3,1,1,1,1,1,2,1,3,2,1
2,2,3,4,3,2,3,1,4,4,4,4,4,1,3,1,2,2,2
1,1,2,1,2,1,2,2,3,1,1,2,2,2,1,1,1,1,2
1,1,1,1,2,1,1,3,1,1,1,1,1,4,1,1,1,1,1
1,1,1,1,2,1,1,3,1,1,1,1,1,4,2,1,1,1,2
1,1,2,1,1,1,2,2,3,3,2,2,2,4,1,1,1,1,3
2,1,3,4,2,2,3,1,4,3,4,4,3,1,1,1,2,2,2
1,1,2,1,3,2,1,3,3,3,1,1,2,1,1,1,2,2,1
1,1,2,1,2,2,2,2,3,4,2,2,3,2,1,1,1,2,1
1,1,2,4,4,1,3,1,3,1,2,2,1,1,1,1,3,2,3
1,1,2,1,2,2,2,2,3,3,2,2,3,3,1,1,1,1,3
2,2,3,4,2,2,4,1,4,4,4,4,4,1,1,1,2,2,4
1,1,2,1,2,1,2,2,3,3,2,2,3,2,1,1,2,2,3
1,1,2,2,2,2,2,2,3,1,2,2,1,1,1,1,3,2,4
1,1,2,1,2,1,2,2,3,3,2,2,3,1,2,1,2,2,4
1,1,1,1,2,1,2,2,3,3,1,2,2,4,2,1,1,1,3
2,2,3,4,3,2,4,1,4,4,4,4,4,1,1,1,2,2,2
1,1,2,1,1,2,2,2,3,4,1,2,2,2,1,1,1,2,1
1,1,2,1,1,1,1,3,3,3,1,1,1,2,1,1,2,1,1
1,1,2,4,4,1,2,2,3,1,2,2,1,1,1,1,4,2,3
1,1,2,2,2,1,3,1,3,1,2,2,1,1,1,1,2,2,2
2,2,3,4,2,2,4,1,4,4,4,4,4,1,1,1,2,2,4
1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,2,2
1,1,2,1,1,2,1,3,3,2,1,1,1,2,2,1,2,1,1
2,3,3,4,3,2,4,1,4,4,4,4,4,1,1,1,2,2,4
1,1,2,1,2,2,2,2,3,3,1,2,2,2,1,1,2,2,1
1,1,2,2,3,1,1,2,3,3,1,2,2,1,2,1,3,2,3
1,1,2,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,1
2,1,4,3,2,2,4,1,4,3,4,4,3,1,4,1,2,2,2
1,1,2,1,2,1,2,2,3,1,2,2,1,1,2,1,2,2,2
1,1,2,1,2,1,2,2,3,3,2,2,2,1,3,1,3,2,4
1,1,3,4,2,2,3,1,4,3,4,4,3,2,2,1,2,2,2
1,3,3,4,2,2,4,1,4,4,4,4,4,1,1,1,2,2,4
1,1,1,1,2,1,1,3,3,1,1,1,1,3,1,1,1,1,2
1,1,2,4,2,2,3,1,3,1,3,3,1,1,1,1,2,2,2
1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,2,2,1
1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,4,2,1
2,1,3,4,2,2,3,1,4,3,3,3,2,1,2,1,3,3,2
1,1,2,1,2,1,2,2,3,3,2,2,2,2,1,1,1,2,3
1,1,2,1,1,1,2,2,3,3,2,2,2,4,1,1,1,1,3
2,1,2,3,2,2,3,2,3,3,2,2,2,1,2,1,3,2,2
1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,4,2,1
1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1
1,1,2,1,3,1,2,2,3,3,2,2,2,2,1,1,1,1,3
1,1,2,4,3,1,3,1,3,3,3,3,3,1,1,1,2,2,2
1,1,2,1,2,2,2,2,3,3,1,2,1,1,1,1,3,2,1
1,1,2,1,2,2,2,2,3,3,1,2,2,1,1,1,4,2,1
2,2,3,2,1,2,4,1,4,4,4,4,4,4,1,1,1,1,3
1,1,2,2,4,1,2,2,3,3,1,2,2,1,1,1,2,2,3
1,1,2,1,2,1,2,2,3,3,1,2,2,2,2,1,2,2,3
1,1,2,1,2,1,1,3,3,1,1,1,2,2,1,1,1,2,4
2,2,4,4,3,2,4,1,4,4,4,4,4,1,2,2,2,2,2
1,1,2,3,4,1,2,2,3,1,2,2,1,1,1,1,3,2,3
2,1,3,4,2,2,3,1,4,3,3,3,1,1,1,1,2,2,4
1,1,2,1,2,1,2,2,3,3,2,2,2,2,1,1,2,2,3
1,1,2,1,2,1,2,2,3,3,2,2,3,3,2,1,1,1,3
4,2,4,4,3,2,4,1,4,4,4,4,4,1,4,2,2,2,2
1,1,2,1,1,2,2,2,3,3,2,2,2,2,1,1,2,2,1
1,1,2,4,2,2,3,1,3,3,2,2,3,1,4,1,2,2,2
1,1,2,1,2,1,1,2,3,3,1,2,1,1,1,1,2,2,3
1,1,2,1,2,2,2,2,3,3,2,2,2,2,1,1,2,2,1
1,1,3,4,3,2,3,1,4,3,4,4,3,2,1,1,2,2,4
1,1,1,1,2,1,1,3,3,1,1,1,1,4,4,1,1,1,2
1,1,2,1,2,1,1,3,3,1,1,1,1,1,1,1,2,2,1
1,1,2,4,4,3,2,2,3,3,3,2,2,4,2,1,2,2,1
1,1,2,1,2,1,2,2,3,1,2,2,1,2,1,1,2,2,3
1,1,2,1,2,2,1,3,3,1,1,1,1,1,1,1,2,2,1
2,2,3,2,1,1,4,1,4,4,4,4,4,4,2,1,2,1,3
1,1,2,1,2,1,2,2,3,1,1,2,1,1,1,1,2,2,3
1,1,2,4,3,1,3,1,4,3,3,4,4,2,1,1,2,2,3
1,1,2,1,2,1,1,3,3,1,1,1,1,1,4,1,2,2,2
1,1,3,4,2,2,3,1,3,1,3,3,2,1,2,3,2,2,2
1,1,2,2,2,1,3,1,3,1,3,3,1,1,1,1,4,2,3
2,2,3,4,2,2,4,1,4,4,4,4,4,2,2,1,2,2,2
1,1,2,2,2,1,2,2,3,3,2,2,2,1,4,1,2,2,4
1,1,2,4,4,1,2,2,3,1,2,2,1,1,1,1,4,2,3
1,1,2,1,2,2,1,3,3,1,1,1,1,1,1,1,4,3,1
1,1,2,1,2,2,2,2,3,3,2,2,3,2,1,1,1,2,3
1,1,2,1,2,1,2,2,3,3,2,2,2,1,1,1,2,2,3
2,1,3,4,2,2,3,1,4,3,4,4,3,1,1,2,2,2,2
2,1,3,3,2,2,4,1,4,3,4,4,3,1,1,1,2,2,4
2,1,3,4,2,2,3,1,4,3,3,4,3,1,3,1,3,2,4
2,1,3,4,2,2,3,1,4,3,4,4,2,1,2,2,2,2,4
1,1,2,4,2,2,3,1,3,3,3,3,4,1,1,1,2,2,2
1,1,2,1,2,2,2,2,3,3,2,2,3,2,1,1,2,2,1
1,1,2,1,2,1,2,2,3,1,2,2,1,1,1,1,2,2,3
1,1,3,4,3,2,3,1,4,3,4,4,4,1,2,1,2,2,4
1,1,2,1,2,1,2,2,3,3,2,2,2,3,1,1,1,1,3
1,1,1,1,1,1,1,3,3,3,1,1,1,2,2,1,2,1,1
1,1,2,1,2,2,1,3,3,3,1,1,1,1,1,1,2,2,1
1,1,3,4,2,2,3,1,4,3,3,3,1,1,1,2,3,4,2
1,1,1,1,2,1,1,3,1,1,1,1,1,3,1,1,1,1,1
2,1,3,4,2,1,4,1,4,3,4,4,4,2,1,1,2,2,3
2,2,3,4,3,2,4,1,4,4,4,4,3,2,1,1,2,2,2
2,2,4,4,2,1,4,1,4,4,4,4,4,4,2,1,1,1,3
1,1,2,1,2,2,2,2,3,3,2,2,2,4,1,1,1,1,3
1,1,3,4,3,2,3,1,4,3,3,3,4,1,2,1,2,2,2
1,1,2,2,2,1,3,1,3,1,2,3,1,1,1,2,2,2,2
1,1,2,1,2,1,2,2,3,3,1,2,3,3,1,1,1,1,3
2,1,3,4,2,2,3,1,3,3,3,3,2,1,4,1,4,3,4
1,1,2,1,2,1,2,2,3,3,2,2,2,1,2,1,2,2,4
1,1,2,2,3,2,2,2,3,3,1,2,1,1,1,1,3,2,1
1,1,2,2,2,1,2,2,3,1,2,2,1,1,1,1,2,2,2
1,1,2,1,2,2,1,3,3,3,1,2,2,1,4,1,4,2,1
2,1,3,4,2,2,3,1,4,3,3,3,3,1,2,1,2,2,4
1,2,4,4,3,2,4,1,4,4,4,4,4,1,2,1,2,2,4
1,1,2,1,2,1,2,2,3,2,2,2,2,4,1,1,1,1,3
2,2,3,2,2,1,4,1,4,4,4,4,4,2,1,1,2,2,3
2,2,3,4,2,2,4,1,4,4,4,4,4,1,1,1,2,2,2
1,1,2,1,2,2,2,2,3,3,1,2,2,2,2,1,2,2,1
1,1,2,4,2,1,3,1,4,3,4,4,4,2,2,1,2,2,3
1,1,3,1,2,2,2,2,3,3,1,2,2,1,4,1,3,2,1
1,1,2,1,2,1,2,2,3,1,2,2,1,2,1,1,2,2,3
1,1,2,1,2,1,2,2,3,1,2,2,1,1,1,1,2,2,3
1,1,2,1,2,1,1,3,3,1,1,2,2,1,1,1,2,2,4
1,1,1,1,2,1,1,3,3,1,1,1,1,4,1,1,1,1,2
2,2,3,4,2,2,4,1,4,4,4,4,3,1,2,1,2,2,4
1,2,3,4,3,2,4,1,4,4,4,4,4,2,2,1,2,2,4
2,2,3,4,2,1,4,1,4,4,4,4,4,3,1,1,2,1,3
4,1,4,4,2,2,4,1,4,3,4,4,4,1,4,1,2,2,2
1,1,2,2,2,1,2,2,3,3,2,2,2,1,2,1,4,3,4
1,1,2,1,2,2,2,2,3,3,1,2,2,1,2,1,4,2,1
1,1,2,1,2,1,1,3,3,1,1,1,1,1,4,1,4,3,4
1,1,3,4,3,2,3,1,4,3,3,4,2,1,1,2,2,2,4
1,1,1,1,2,1,2,2,3,1,1,2,1,4,2,1,1,1,2
